municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
CHIQUILISTLÁN,2,0,0,0,0,0,2,2015
EL GRULLO,4,0,1,0,1,0,2,2015
EL LIMÓN,1,0,0,0,0,1,0,2015
JUCHITLÁN,1,0,0,0,0,0,1,2015
TECOLOTLÁN,5,0,0,0,0,3,2,2015
TENAMAXTLÁN,1,0,0,0,0,1,0,2015
TONAYA,1,0,0,0,0,0,1,2015
UNIÓN DE TULA,3,0,0,1,0,2,0,2015
AUTLÁN DE NAVARRO,7,0,0,3,1,1,2,2015
CASIMIRO CASTILLO,2,0,0,1,0,1,0,2015
CIHUATLÁN,129,0,9,29,24,25,42,2015
LA HUERTA,35,6,2,3,4,5,15,2015
VILLA PURIFICACIÓN,3,0,0,0,1,1,1,2015
CABO CORRIENTES,6,1,0,2,1,0,2,2015
PUERTO VALLARTA,292,26,30,28,12,11,185,2015
TOMATLÁN,8,1,1,0,1,0,5,2015
ATENGUILLO,1,0,0,0,0,1,0,2015
AYUTLA,2,0,0,0,0,1,1,2015
GUACHINANGO,2,0,0,0,0,0,2,2015
MASCOTA,22,2,5,9,1,0,5,2015
SAN SEBASTIÁN DEL OESTE,18,2,1,4,3,2,6,2015
TALPA DE ALLENDE,37,0,1,3,2,8,23,2015
AHUALULCO DE MERCADO,5,1,1,0,0,1,2,2015
AMATITÁN,2,0,0,0,0,0,2,2015
AMECA,6,0,0,2,0,4,0,2015
COCULA,4,0,0,1,1,1,1,2015
EL ARENAL,3,0,0,0,0,0,3,2015
ETZATLÁN,5,0,1,1,0,1,2,2015
HOSTOTIPAQUILLO,2,0,0,0,0,0,2,2015
MAGDALENA,5,0,0,0,0,4,1,2015
SAN JUANITO DE ESCOBEDO,1,0,0,0,0,0,1,2015
SAN MARCOS,1,0,0,0,0,0,1,2015
SAN MARTÍN HIDALGO,2,0,0,0,0,1,1,2015
TALA,4,0,0,2,0,1,1,2015
TEQUILA,22,2,6,4,4,1,5,2015
TEUCHITLÁN,4,0,2,0,0,1,1,2015
